actual,predicted,detected_language,excerpt
Positive,Average,english,"On September 11th, 2001, millions were killed; but 2,819 lives ended in an especially gruesome manner. They were the victim of a plane hijacking by extremists w"
Positive,Average,dutch,ik heb echt genoten van het kijken naar deze film. zoals de meeste mensen die ernaar keken. Ik was er niet zeker van dat ik het kreeg. Whoopi Goldberg is een er
Positive,Average,english,"Without doubt Beat Street is the best film about the breakin scene. Everything about it is spot on,the clothes (puma),the music and most importantly the dancing"
Average,Positive,dutch,Bovengemiddelde film en acteerwerk deels bedorven door de volkomen voorspelbare verhaallijn. Zelfs de muziek is zo gekozen dat de woorden elke keer bij de actie
Positive,Negative,dutch,"Het is niet de slechtste film ooit gemaakt, de acteurs zijn niet verschrikkelijk en het script en de regisseur zijn niet geheel onbekwaam. <br /><br />Het is ni"
Average,Positive,dutch,"Dit is de eerste Amerikaanse film die met succes de naturalistische stijl heeft overgenomen die Europeanen, vooral de Fransen en Belgen, al minstens tien jaar g"
Average,Positive,dutch,"Van alle prinsessenverhalen die Disney heeft uitgebracht, heeft Assepoester waarschijnlijk de meest blijvende aantrekkingskracht. Ik kan niet echt zeggen waarom"
Average,Positive,dutch,"Ik was me letterlijk aan het voorbereiden om deze film te haten, dus geloof me als ik zeg dat deze film het bekijken waard is. Over het geheel genomen zijn het "
Positive,Average,dutch,Ik had Richard Thomas nog nooit een slechterik zien spelen. Ik wist niet zeker of ik hem zo leuk zou vinden. En ik wist niet zeker of hij het voor elkaar zou kr
Positive,Average,dutch,"Begrijp me niet verkeerd. ""GoldenEye"" was revolutionair en is absoluut de beste FPS-game die gebaseerd is op de 007-franchise. Maar de serie was in een FPS-sleu"
Positive,Average,dutch,"Toen ik Birthday Girl zag, vond ik het zo leuk dat ik elke Nicole Kidman-film wilde zien die ik kon, maar ik vond ze allemaal een teleurstelling vergeleken met "
Average,Positive,dutch,Ik zag dit onlangs opnieuw op Comedy Central. Ik zou graag Jean Schertler (Memama) en Emmy Collins (Hippie in de supermarkt) als moeder en zoon in een film zien
Positive,Average,english,"Too bad a couple of comments before me don't know the facts of this case. It is based on actual events, a highly publicized disappearance and murder case taking"
Positive,Average,dutch,"WAARSCHUWING: MOGELIJKE SPOILERS (maar niet echt - blijf lezen). Ahhh, er zijn zoveel redenen om volkomen verslaafd te raken aan dit parodie-juweeltje dat ik ge"
Average,Positive,dutch,"Het was geweldig! De fotografie, montage, cinematografie en muziek brachten ons samen naar de gevaarlijke kant van een toeristische bestemming. Het was het geni"
Average,Positive,dutch,Mijn ouders namen me mee naar deze film toen ik negen jaar oud was. Ik ben het nooit vergeten. Ik had nog nooit zoiets moois gezien als Elizabeth Taylor. (Ze wa
Average,Positive,dutch,Moonchild is een heel moeilijke film om te categoriseren. Het is het gemakkelijkst om het te zien als verschillende momentopnamen van de levens van de twee hoof
Average,Positive,dutch,"Barbara Stanwyck geeft deze vroege door Douglas Sirk geregisseerde, door Universal geproduceerde soap precies de kick die hij nodig heeft. Lang niet zo gedenkwa"
Positive,Average,dutch,De gebeurtenissen van 11 september 2001 behoeven geen extra menselijke belangstelling in de vorm van het volgen van de training van de beginnende brandweerman o
Positive,Average,dutch,"Hé nu, ondergetekende, TheaterX, vond dit tijdens het doorzoeken van video's op de rommelmarkt, in bijna nieuwe staat, en bij het lezen van de achterkant van de"
Average,Positive,dutch,"Alle mensen die deze film recenseren, en waarschijnlijk veel professionele filmrecensenten, begrijpen het gewoon niet. Deze film is gemaakt met matterende seque"
Average,Positive,dutch,"Deze film is waarschijnlijk iets voor jou. Het had een algehele meditatieve kwaliteit, van de muziek tot de prachtige fotografie en het luisteren naar de vaak c"
Average,Positive,dutch,"Dit is echt een leuke film. Een daarvan waar je gedachteloos naar kunt kijken terwijl de plot steeds verwrongener wordt; steeds grappiger. Sally Field, Teri Hat"
Average,Positive,dutch,"GÃ³mez Pereira is verantwoordelijk voor enkele van de meest verachtelijke komedies van de nieuwste Spaanse cinema (kijk maar eens naar zijn curriculum vitae), d"
Negative,Average,dutch,De heer Perlman levert een opvallende prestatie (zoals gewoonlijk). Helaas moet hij worstelen met een onderschreven script en een aantal onzinnige spelhervattin
Positive,Average,dutch,"De energieke jonge producer van theatrale prologen (die geënsceneerde uitvoeringen, meestal muzikaal, die vroeger vaak in de grotere bioscopen te zien waren) mo"
Average,Positive,dutch,"Dit is de tweede film die ik heb gezien van Ida Lupino als regisseur, na 53's The Hitch-hiker. Ik denk dat deze een betere film was dan die. Deze heeft een meis"
Positive,Average,dutch,"Liefde doet pijn. Dat is, denk ik, de belangrijkste boodschap die Mike Binders nieuwste film Reign Over Me overbrengt. Of die liefde er nu voor heeft gezorgd da"
Positive,Average,dutch,Dit is een mooi stukje werk. Zeer sexy en boeiend genoeg om mijn interesse gedurende het hele verhaal vast te houden. Het grootste nadeel is dat het lijkt alsof
Average,Positive,dutch,"Ongeveer tweehonderd leden van een filmvereniging uit Cleveland, Ohio, genaamd Cinematheque, kwamen op 19 augustus 2000 bijeen om een ​​ongerepte Cinemascope-af"
Positive,Average,dutch,"Ik denk niet dat ik Walter Matthau ooit echt de eer heb gegeven als komisch artiest. Hij is zeker geweldig geweest in tal van luchtige rollen, maar ik denk dat "
Positive,Average,dutch,"The Running Man wordt vaak afgedaan als de zoveelste Arnie-actiethriller vol explosies, slechte woordspelingen en geweervuur, en om eerlijk te zijn, daar zit ve"
Positive,Average,dutch,"Er zijn twee verschillende manieren om van dit vlot geschreven, baanbrekende tv-programma te genieten (de 'peetvader' van X-Files en Buffy, enz.); als een monst"
Positive,Average,english,"There's the danger with the critic/philosopher Slavoj Zizek with his film, directed by Sophie Fiennes, which takes together a wonderful amalgam of silent, horro"
Positive,Average,dutch,"Margaritas en Cock...<br /><br />Deze enorm vermakelijke film grijpt je vanaf de openingsscène en houdt nooit op met lachen, verrassingen en onverwacht ontroere"
Average,Positive,dutch,"Ik heb zojuist de hele 6 afleveringen op dvd bekeken. Het acteerwerk is overal uitstekend, daar bestaat geen twijfel over. Er was voor mij niet genoeg actie moe"
Positive,Average,dutch,"Ik moet deze 10 op 10 stemmen in de zeldzame kans dat ze deze recensie toevallig ziet, medelijden met me krijgt, me meeneemt naar Hollywood en me betrekt in haa"
Average,Negative,dutch,"Ik zou niet zo ver gaan om deze film niet aan te bevelen, aangezien de enige problemen die ik ermee heb te wijten zijn aan een overmatige blootstelling aan de p"
Positive,Average,dutch,Dit is de eerste Michael Vartan-film die ik heb gezien (ik heb Alias ​​niet gezien) en ik was benieuwd of de man kan acteren. Hij kan dat zeker en is sympathiek
Average,Positive,dutch,"Een brutaal deprimerend script, een aantal fijne rustige optredens van Peter Strauss en Pamela Reed en een aantal goede opnames op locatie in Ohio vormen de bas"
Negative,Positive,dutch,"Gangen van de tijd. De film die je kunt kijken als je op zoek bent naar een verfijnde manier van zelfmoord. Sommigen gebruiken geweren, touwen of gas, maar jij "
Average,Positive,dutch,"Curly Sue is een zesjarige met een overvloed aan haar en een leven als zwerver. Zij en haar vader, Bill (Jim Belushi), proberen op straat te overleven door klei"
Average,Positive,dutch,Het lezen van alle reacties is erg spannend. maar kan iemand mij alstublieft de naam vertellen van de echte kunstenaar die de foto's schilderde voor de uitzendi
Positive,Average,dutch,The Last Hunt van Richard Brooks was een filmster. Stewart Granger kon het niet eens verdragen om genoemd te worden. Hij verscheurde zelfs een vintage poster vo
Average,Positive,dutch,Ik hield niet van het pretentieuze en overschatte Apocalypse Now. Waarschijnlijk mijn favoriete film over de Vietnamoorlog is The Deer Hunter. De Deer Hunter co
Average,Positive,dutch,"Een documentaire zonder verlies van woorden... ooit...<br /><br />Laten we aannemen dat de vertelling meer is dan een parodie, laten we aannemen dat het een com"
Average,Positive,dutch,"Nadat ik Dick Tracy in de prullenbak van $ 6,99 bij Future Shop had gezien, besloot ik het eens te proberen zonder voorkennis en omdat ik een grote fan was van "
Positive,Average,dutch,"Dit Belgische pareltje zag ik twee dagen na het zien van 'American Teen'. Vergis je niet: de adolescentie is een achtbaanrit, of het nu Amerikaans of Europees i"
Positive,Average,english,"Finally, an indie film that actually delivers some great scares! I see most horror films that come out... Theatrical, Straight-To-DVD, cable, etc... and most of"
Positive,Average,dutch,"Toen deze film in 1976 in première ging, wordt er volgens de legende op massaal gejoel en minachting gereageerd; het werd algemeen als een mislukking beschouwd."
Positive,Average,dutch,Dit speelt zich af in het Praagse tijdperk van de werelddepressie en is het verhaal van een ambitieuze winkelbediende die verliefd wordt op een mysterieuze vrou
Average,Positive,dutch,Een bus vol passagiers komt vast te zitten tijdens een sneeuwstorm. De politie heeft de brug afgesloten omdat ze zeggen dat het onveilig is en ze zitten vast in
Positive,Negative,dutch,"Ik heb deze film meerdere keren vertoond hier op de universiteit, en elke keer als ik hem laat zien, groeit het aantal mensen dat samen met mij kijkt exponentie"
Average,Positive,dutch,Niets is leuker voor mij dan een who-dun-it- of suspense-verhaal waarbij je de hele tijd blijft raden hoe het geheel zal eindigen. En dat is precies wat er gebe
Positive,Average,english,"And I am a Nicole Kidman fanatic. I would pay to see and hear her read the Moscow phone book, which, for all I know, she may have been doing when she was speaki"
Positive,Average,dutch,Ik vond dit een uiterst charmante film. Het verhaal lijkt een nauwelijks verhulde autobiografie van John Waters te zijn: Peckers grootste gave is zijn vermogen
Average,Positive,dutch,"Doordrenkt van symboliek en gevuld met prachtige cinematografie, is Extase zoveel meer dan het erotische drama dat we allemaal gewend zijn. Dit is bijna een sto"
Positive,Average,dutch,"Alle mensen die hier zitten en zeggen dat de zwakke schakel van deze film de Ramones zijn, zouden waarschijnlijk zeggen dat Amadeus oké was, ware het niet dat d"
Positive,Average,dutch,Eerlijk gezegd is deze serie net zo goed een klassieker (zoals de televisie het zegt) als het originele gedicht voor de wereldliteratuur is. Verre van grof uitb
Average,Positive,dutch,"Ik vond de AWTWB van Tom Barman erg goed. Je moet het gewoon over je heen laten komen en ervan genieten zolang het duurt, en niets verwachten. Het is alsof je o"
Negative,Average,dutch,"De komische kracht van Pryor en Gleason kon deze hond niet redden van het flinterdunne plot, het zwakke script, het sombere acteerwerk en de lachwekkende contin"
Average,Positive,dutch,"Broers met psychokinetische krachten (ja, echt waar) duelleren niet alleen om de genegenheid van Debra Winger, maar eigenlijk over een geheim uit hun kindertijd"
Average,Positive,dutch,Net als bij een stel jongens op school moeten we dit een duim omhoog geven. Zelfs de Grim Ripper liet ons glimlachen. Die twee buitenaardse dingen maakten me aa
Positive,Average,dutch,Guys and Dolls is een film die snakt naar een remake. Het is achtenveertig jaar geleden gemaakt. De twee belangrijkste sterren zijn dood of wegen 409 pond. Hoew
Average,Positive,dutch,"Degenen die zo vroeg in de eeuw de filmcamera gebruikten, moeten al heel vroeg een deel van de mogelijkheden ervan hebben ontdekt. Dit is een goed verhaal van e"
Average,Positive,dutch,"Hmmm, ja, deze aflevering wordt extreem onderschat.<br /><br />Ook al wordt er VEEL slecht geschreven en geacteerd. Ik denk dat het goede het wint van het slech"
Average,Positive,dutch,"Het is voornamelijk het verhaal van twee mannen die deel uitmaakten van de Portugese revolutie. Het was gemakkelijk om de wedstrijd te begrijpen, maar meestal v"
Positive,Average,dutch,"Dit is geen slechte film. Het volgt de nieuwe conventies van de moderne horror, dat wil zeggen de film in een film, waarbij de bekende actrice in de eerste scèn"
Positive,Average,dutch,George en Kim reizen met hun jonge zoon Miles naar een afgelegen hut in de staat New York wanneer hun auto een hert raakt en in een greppel terechtkomt. Maar wa
Average,Positive,english,"First it was Jack The Ripper, now it is Alan Feinstone. The crazy dentist tortures people in horrific ways. Quite realistic at times but some of the acting is a"
Positive,Average,dutch,"Om te beginnen ben ik altijd fan geweest van de Batman-tekenfilms omdat het thema zo universeel is, 'dat iedereen die leeft een alter ego heeft'. Dit is waar in"
Positive,Average,dutch,Ik vond de film een ​​beetje raar. In de openingsscène wordt een persoon zonder reden vermoord. Hij wordt niet meer genoemd. De speciale effecten hadden ook bet
Positive,Average,dutch,Deze film kon pas in de jaren zeventig ontstaan!! Het is een bizarre actiefilm die zich afspeelt in een klein arbeidersstadje in Californië. Een soort molen of
Positive,Average,dutch,Verschillende jonge Iraanse vrouwen verkleden zich als jongens en proberen mee te doen aan een WK-kwalificatiewedstrijd tussen Iran en Bahrein. Wanneer ze worde
Negative,Positive,dutch,"Ik zag deze film voor het eerst in de bioscoop, toen ik tien was. Zelfs op die leeftijd was de 'humor' lichtelijk beledigend voor mijn adolescente intelligentie"
Negative,Average,dutch,WAARSCHUWING: MOGELIJKE SPOILERS (Niet dat het je iets kan schelen. Sorry voor de hoofdletters.)<br /><br />Beginnend met een onnodig dramatische stem die des t
Average,Positive,dutch,"Ik werk in een bibliotheek en verwachtte dat ik deze film leuk zou vinden toen hij vijf jaar geleden uitkwam. Nou, ik vond Parker Posey erg leuk (ze is een gewe"
Positive,Average,dutch,"Het Amerikaanse filmdebuut van Greta Garbo is een analogie van hoe ons leven door het lot en onze daden van koers kan worden veranderd, als in een stortvloed, w"
Average,Positive,dutch,Viggo Mortensen schittert als een nieuwe gevangene van een spookachtige gevangenis waarin de directeur (Goed gespeeld door Lane Smith) een griezelig geheim heef
Negative,Average,dutch,"Deze eigenaardigheid in de nieuwe DORIS DAY COLLECTION hoeft niet echt te worden opgenomen, aangezien ze maar minder dan 30 minuten in de film speelt. Wat ze we"
Average,Positive,dutch,"Toen ik hoorde dat Patrick Swayze eindelijk terugkeerde naar zijn acteercarrière bij KING SOLOMON'S MINES, was ik erg opgewonden. Ik verwachtte een geweldig Ind"
Average,Positive,dutch,"Pufnstuf is wat het is. Ik zag dit in de bioscoop toen ik vier was en ik heb er hele goede en levendige herinneringen aan. Als je dit als volwassene ziet, kun j"
Positive,Average,english,"Every great gangster movie has under-currents of human drama. Don't expect an emotional story of guilt, retribution and despair from ""Scarface"". This is a tale "
Average,Positive,dutch,"Panic is een boeiende, wazige film over de verzoening van een sombere en conflicterende huurmoordenaar van middelbare leeftijd met een jongere ongeremde haarsty"
Positive,Average,dutch,"Het uitgangspunt lijkt misschien maf, maar aangezien Murphy's personage het niet serieus neemt, helpt het het publiek kennis te maken met deze mix van mystiek e"
Negative,Average,english,"This is easily the worst movie i have EVER seen. I'm not exaggerating, I told the guy at Blockbuster that they should take it off the shelves. The only thing in"
Average,Positive,dutch,Ik moet beginnen met te vertellen hoe ik deze film tegenkwam. Het was winter in Alaska rond het jaar 1990. Een vriend van mij uit Australië logeerde bij mij en
Average,Positive,dutch,"Voordat ik commentaar geef op deze film, moet je je realiseren dat toen ik deze film zag, ik de typische onzin, horror, B-film verwachtte en gewoon plezier wild"
Average,Positive,dutch,Het literaire genie van Vladimir Navokov wordt opnieuw op het scherm gebracht en velen in de gecultiveerde wereld zullen dit opmerken. De regisseur zet ons onde
Positive,Average,dutch,"Zoals bij alle films van Angelopoulos vereist 'The Suspended Step of the Stork' impliciet een nauwe en intieme deelname van de kijker, een feit dat zeker heeft "
Negative,Average,dutch,"Blank Check is een van die kinderfilms die een geweldige spannende thriller voor de kinderen had kunnen zijn, maar in plaats daarvan is het een vermoeide, saaie"
Average,Negative,dutch,Een stel Amerikaanse studenten en hun docent besluiten het lelijkste deel van Ierland te bezoeken om eeuwenoude religieuze praktijken te bestuderen. Ondanks dat
Average,Positive,dutch,"In het begin van de jaren zeventig hadden velen van ons, die de hippie/acid/alternatieve cultuur met heel hun hart hadden omarmd, zich gerealiseerd dat de regul"
Negative,Average,dutch,"Toen ik deze film voor het eerst zag, dacht ik dat het een goede sasquatch-film zou worden. Als je dit soort films hebt, is er meestal EEN sasquatch, maar in de"
Average,Positive,dutch,"Foxes is een film die ik me herinner vanwege de vertolking van tieners eind jaren zeventig. Omdat ik precies de leeftijd van Jodie Foster heb, voelde ik me verw"
Positive,Average,dutch,"Ik vond deze film leuk. Het was best gaaf. Het heeft het allemaal: auto's, geweerschieten, vechten en zelfs een symbolisch meisje. In geen van deze dingen blink"
Positive,Average,english,"I wasn't aware of Steve McQueen in 1958. I only knew that I was extremely frightened about going to see this film. (I'd been devastated by the movie ""Trantula"" "
Average,Positive,dutch,"Toen ik de titel voor het eerst zag, was ik al het thema van de film aan het afleiden - het was duidelijk geen verwijzing naar de Britse munt, dus het moest Sha"
Positive,Average,dutch,De eerste aflevering gaf meteen een goede indruk wat je van de serie kon verwachten! Mysteries die wachten om opgelost te worden en veel goed drama! Ik vind het
Average,Positive,dutch,Zoals iemand anders al zei: dit is een feelgoodfilm. Het heeft een prachtig landschap en de wonderbaarlijke stem van Luciano! Ik heb deze film al vaak gezien en
Positive,Average,dutch,"Norman, ben jij dat? was (dit is allemaal uit de derde hand, dus neem het met een korreltje zout) aangepast aan een Afro-Amerikaanse familie van een Joodse fami"
Average,Positive,dutch,Gus Van Sant heeft een aantal uitstekende films gemaakt. Ik ben echt een fan.<br /><br />Ik kan echter niet anders dan het gevoel hebben dat de cerebrale scherp
Positive,Average,english,"A surprisingly complex and well crafted study of ""The First"" serial killer in the USSR. Set in the days of perestroika this intense piece is brought to full lif"
Average,Positive,dutch,"magellan33 zei: ""Je kunt alleen zoveel doen als de twee sterren van de show alleen door één medecastlid kunnen worden gezien.""<br /><br />Ik neem dus aan dat je"
Positive,Average,dutch,"De Grot' is een geweldige Nederlandse thriller, gebaseerd op het boek van Tim Krabbé. Van een ander boek van hem, 'Het Gouden Ei', werd in 1988 de grote Nederla"
Positive,Average,dutch,"Deze vroege korte biografie was zo leuk om naar te kijken. De tweede op schijf één van D.W. Griffith's ""Years of Discovery"" dvd-set (sterk aanbevolen) bevat dri"
Average,Positive,dutch,"Deze film gaat over het leven van koningin Victoria tijdens haar jeugd en haar eerste jaren als monarch van Groot-Brittannië.<br /><br />""The Young Victoria"" he"
Average,Positive,dutch,"Once in the Life betekent dat eens een gangster, altijd een gangster, en niemand gratis in of uit 'The Life' komt. Buurtcriminelen in New York verkopen drugs en"
Positive,Average,dutch,"Gevoelige film ontbeert briljantheid en, tot op zekere hoogte, narratieve structuur, maar is desalniettemin voortreffelijk gefilmd en uitgevoerd. Het punt van d"
Positive,Average,dutch,"Ik verzamel horrorfilms van over de hele wereld en ik heb de goede en de zeer slechte gezien - Zombie Bloodbath is een low-budget video. Zeker, het acteerwerk i"
Average,Positive,dutch,"Rich in Love is een slice-of-life-film die de kijker meeneemt in het reilen en zeilen van een ietwat eigenzinnige familie uit Charleston, SC. Zeer geromantiseer"
Negative,Average,dutch,Was dit de beste film die ik ooit heb gezien? Nee. Was het het ergste? Nee.<br /><br />Als moeder van vier kinderen is het leuk om naar iets te kijken dat licht
Average,Positive,dutch,Oscarwinnaar Robert Redford (Beste Regisseur. Ordinary People 1980) legt de majesteit van de wildernis van Montana en de kracht van de Amerikaanse familie vast
Average,Positive,dutch,"Een wetenschappelijk team van het Pentagon lijkt een serum te hebben geperfectioneerd dat onzichtbaarheid veroorzaakt, maar wanneer de leidende techneut het op "
Positive,Average,dutch,"Ik wist het niet zeker toen ik hoorde dat dit uitkwam. Ik zat te denken hoe dom Disney aan het worden is. Ik had het mis. Ik vond het heel goed. Ik bedoel, het "
Average,Positive,dutch,Als kind was ik dol op dit spel. Ik heb het in het voorjaar van 1993 een miljoen keer gespeeld met mijn vriend Andrew. Ik speelde Axel of Blaze en hij zou Adam
Positive,Average,dutch,"Clair Denis herhaalt opnieuw haar thema van vervreemde vaders, mannen die op vastberaden wijze hun eigen geluk volgen, zonder acht te slaan op de emotionele tol"
Positive,Average,dutch,"Frank McCarthy, die de met een Academy Award bekroonde biografische film Patton produceerde, vervolgt deze met een krachtig eerbetoon aan een andere Amerikaanse"
Positive,Average,dutch,"Wanneer je in een sombere of depressieve stemming bent, ga dan deze film kijken. Het getuigt van veel schoonheid en vreugde in een heel eenvoudige alledaagse se"
Average,Positive,dutch,"Als je Mother Night hebt gelezen en er zo van hebt genoten (zoals ik deed) dat je gewoon de film moet zien, begrijp dan dat je een fundamenteel element van Vonn"
Average,Positive,dutch,De film is gebaseerd op de heroïsche regels van Kipling die de inspiratie vormden voor Hollywood's grootste film uit 1939. Uit het drumritme van Kipling's beroe
Average,Positive,dutch,"Deze film is volgens mij in Hongarije gemaakt. hoe dan ook, het platteland is prachtig, de mensen die de boerenrol speelden waren absoluut fascinerend. hun rijk"
Average,Negative,dutch,"Deze show heeft alle typische karakters van een komedie: de goede kerel, de idioot, de viezerik, het rijke meisje... maar het speelt zich af in de jaren '70. Da"
Negative,Positive,dutch,Er was niet één enkele verlossende factor in deze film. De vriendin en ik houden allebei van actiefilms. Vooral vechtscènes (Bloodsport en Kickboxer waren gewel
Positive,Average,english,"Shower keeps within itself in so many ways. Almost all of the movie takes place in an old- time bathhouse, with the denizens supplying the humor, pathos, and em"
Negative,Positive,dutch,Het moet het meest oubollige tv-programma op de ether zijn. Dit is waarschijnlijk een ontsnapping voor Jim Belushi en al zijn slechte films. Zijn broer zoog al
Positive,Average,english,"Sisters In Law is made by the same directors of the rather curiously fascinating 'Divorce, Iranian Style' which was as exactly as it stated, as we got a glimpse"
Average,Positive,dutch,"Op zoek naar Quo Vadis in mijn plaatselijke videotheek, vond ik deze versie uit 1985 die er interessant uitzag. Wauw! Het was geweldig! Een film van het type Ke"
Positive,Average,dutch,"Omdat dit een van de meest favoriete romans is, was ik erg opgewonden om de verhuizing te zien. Ik werd niet teleurgesteld! Ja, natuurlijk zijn er een paar ding"
Positive,Average,dutch,"Ik leunde achterover en keek naar 'Read My Lips', een bord Freedom Fries voor me. Het eten werd snel vergeten toen ik in beslag werd genomen door de originele e"
Positive,Average,dutch,"Eigenlijk geen slecht woord over deze film. Ik was er in eerste instantie niet van onder de indruk, maar het groeide snel. Ik vind het erg leuk en ik vind het j"
Average,Positive,dutch,Hoe is 'Cry Freedom'? Het is gewoon een geweldige en unieke ervaring over het maken van Zuid-Afrika en hoe zwarte mensen in dat land werden onderdrukt door blan
Positive,Average,dutch,"Leuke karakterontwikkeling in een best coole omgeving. Als man ben ik waarschijnlijk niet gekwalificeerd om het volledig te begrijpen, maar ze doen er goed aan "
Positive,Average,dutch,"Deze film lijkt vandaag misschien gedateerd, maar onthoud dat hij werd gemaakt in 1974 - vóór Saturday Night Live, vóór Howard Stern, toen George Carlin net voo"
Average,Negative,dutch,Slechts twee opmerkingen....ZEVEN jaar verschil? Nauwelijks bewijs van de meedogenloze aantrekkingskracht van de film! Zoals gezegd is de low-budget telemovie-s
Positive,Negative,dutch,"Als de makers van deze film ook maar een poging hadden gedaan om de realiteit in de plot te introduceren, zou dat alleen maar een verspilling van tijd, geld en "
Positive,Average,dutch,"Dit is een lauw docudrama dat geen nieuw terrein bestrijkt, alle clichés herwerkt en slordig is met feiten. München is bijvoorbeeld een zeer vlakke stad. Dus wa"
Negative,Average,english,"I'm not a huge Freddy Krueger fan,but that doesn't mean that I don't like Robert Englund and his other Nightmare on Elm Street movies.I think that Robert is a v"
Positive,Average,dutch,De eerste was goed en origineel. Ik was een goede horror/komediefilm. Dus ik hoorde dat er een tweede was gemaakt en die moest ik bekijken.<br /><br />Wat deze
Negative,Average,dutch,"Het gerucht gaat dat toen de technische adviseurs van NASA voor deze film werden gevraagd om het beeld geloofwaardig te houden, ze urenlang moesten lachen. Tenz"
Average,Positive,dutch,"Nou, persoonlijk houd ik niet van rap, maar ik vond Fear of a Black Hat nog steeds hilarisch. Ik weet zeker dat ik geen inside jokes heb gekregen, maar sommige "
Average,Positive,dutch,"Ik heb genoten van deze film. Het was luchtig, verrukkelijk en heel kleurrijk. Je kunt zien dat MGM Technicolor liet zien. Er zijn vrijwel geen kleuren die niet"
Negative,Positive,dutch,"als je niet in de jaren 90 hebt geleefd of OOIT naar rapper hebt geluisterd!! deze film is misschien oké voor jou, maar voor elke fan of elke persoon die ooit n"
Positive,Average,dutch,"The Intruder (L'Intrus) is een visuele pelgrimstocht door een mysterieus leven. <br /><br />Grizzled Michel Subor speelt ""Louis Trebor"" zoals Jason Bourne als e"
Negative,Positive,dutch,"Zeer teleurstellende versie van Lorna Doone. Te veel ontbrekende personages, geen romantische scènes, veranderingen in verhaallijn, te kort, leek low budget. Na"
Average,Positive,dutch,"Jarenlang heb ik gedacht dat deze geweldige servicekomedie een product van John Ford was, vooral met Victor McLaglen als een van de hoofdrolspelers. Het heeft z"
Positive,Average,dutch,"De film, gebaseerd op St. Ives van Robert Louis Stevenson, vertelt het verhaal van een onstuimige jonge Franse huzarenkapitein (Jean Marc Barr) tijdens de Napol"
Positive,Average,dutch,"Hé nu, ik kan niet beweren dat ik alle films van Jesse (Jezus) Franco heb gezien, en er lijken er zeker veel te zijn, maar dit is een van de betere (en vreemder"
Average,Positive,dutch,"8 Simple Rules is een grappige show, maar het bevat ook enkele levenslessen, vooral een volwassen les over verder gaan na een nederlaag, namelijk de aflevering "
Positive,Average,dutch,"vreselijk onderschat met Matt Dillon en Tom Skerritt, goede achtergrond voor een solide verhaal en enkele memorabele regels, goed geacteerd en goed gecast, Tomm"
Average,Positive,dutch,Deze voor televisie gemaakte versie van het legendarische standpunt tegen hopeloze verwachtingen is objectiever en realistischer dan eerdere gefilmde versies va
Average,Positive,dutch,Dit is een perfecte serie om met het hele gezin te bekijken. We verzamelen ons rond de tv om dit op BBC America te bekijken. Het is een moderne versie van Robin
Average,Positive,dutch,"DANIEL DAY-LEWIS doet opmerkelijk werk door Christy Brown te spelen, de kunstenaar die opgroeide met hersenverlamming maar erin slaagde een productief leven te "
Positive,Average,dutch,"Dog Bite Dog zal niet voor iedereen geschikt zijn, maar ik heb er echt van genoten. Vol met slaan, steken en schieten (maar maak je geen zorgen – de leiding is "
Positive,Average,dutch,"(Het is niet nodig om de plot samen te vatten, aangezien anderen dat al hebben gedaan.)<br /><br />Het is begrijpelijk dat veel kijkers kritiek hebben op de fil"
Positive,Average,dutch,"Ik heb in mijn studententijd veel tv-films gezien, waarvan het merendeel de normale tijdverspilling was die de Amerikaanse televisie weggooit. Deze was echter g"
Average,Positive,dutch,"Hoewel ik dol was op deze film, stelden de trailers die het jaar voordat hij in de bioscoop verscheen op internet circuleerden mijn verwachtingen een beetje hoo"
Positive,Average,english,"Best of the Zorro serials and one of my favorite serials, period. This is a period serial set right after the birth of Mexico. The new nation is counting on the"
Average,Positive,dutch,"We hebben echt genoten van Grey Owl: een eenvoudig verhaal, goed verteld op de klassieke Attenborough-manier: een beetje te geromantiseerd, met archetypen, humo"
Positive,Average,dutch,Van de regisseur van de films 'Last Seduction' en 'Kill me again' komt nog een film in noir-stijl. John Dahl creëerde begin jaren negentig een niche voor zichze
Average,Positive,dutch,Redelijk goede romantische komedie waarin ik Meg er volgens mij nog nooit zo schattig uit heb zien zien. Alle spelers hebben goed hun best gedaan om dit levendi
Average,Positive,dutch,"Crush biedt een combinatie van drama, humor en zoveel ironie dat de Engelsen volgens mij heel goed overkomen als het om zaken van het hart gaat. Vooral bekend v"
Positive,Average,english,Henry Fonda brilliantly captures what we have long believed Abraham Lincoln was like. It is a fooler. Through Fonda's performance we are led to believe (on the
Positive,Average,dutch,"In 1930 kreeg Europa een behoorlijke schok toen Luis Bunuels 'L'Age Dor' werd uitgebracht, wat een rel veroorzaakte in Parijs toen het daar werd vertoond, met a"
Average,Positive,dutch,"Het is moeilijk om geen voorliefde te hebben voor de Israëlische regisseur Eytan Fox en voor zijn films, die het leven in het Midden-Oosten beschrijven en de in"
